seller-name,seller-type,layout_type,property_type,projName,location,val 2,unit,area,val 4,possession,number of bedrooms
Mascrow Developers,AGENT,BHK,Apartment,Paranjape Blue Ridge,Hinjewadi,37,L,"6,479 / sq ft",Ready to move,NorthWest facing,1 BHK Property for Sale in Hinjewadi Pune
Mascrow Developers,AGENT,BHK,Apartment,Paranjape Blue Ridge,Hinjewadi,1.4,Cr,"8,092 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Hinjewadi Pune
VSProperties,AGENT,BHK,Apartment,Karia Konark Orchid,Wagholi,45,L,"5,597 / sq ft",Ready to move,Resale,1 BHK Property for Sale in Wagholi Pune
VSProperties,AGENT,BHK,Apartment,Manav Silver Springs,Wagholi,50,L,"5,518 / sq ft",Ready to move,Resale,2 BHK Property for Sale in Wagholi Pune
VSProperties,AGENT,BHK,Apartment,BU Bhandari Everglade,Kharadi,68,L,"6,800 / sq ft",Ready to move,Resale,2 BHK Property for Sale in Kharadi Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,86.36,L,"7,055 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,67.35,L,"7,037 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,63.58,L,"7,072 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,40.27,L,"6,645 / sq ft",Ready to move,East facing,1 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,Shivam 19 Grand West,Thergaon,88.36,L,"6,990 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Thergaon Pune
Nature Realty,AGENT,BHK,Apartment,Shivam 19 Grand West,Thergaon,68.35,L,"6,553 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Thergaon Pune
Nature Realty,AGENT,BHK,Apartment,Shivam 19 Grand West,Thergaon,66.38,L,"6,469 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Thergaon Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,83.56,L,"7,099 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,78.35,L,"7,039 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
